Key,Value
FLOWER ST ,2
THE COFFEE BEAN AND TEA LEAF ,2
TACO BELL ,2
ALPHA TAU OMEGA ,2
ADAMS BL & MAGNOLIA ST ,2
35TH PL ,2
PALISADES ,2
SCHOOL OF CINEMATIC ARTS-BLDG. D ,2
32ND ST ,2
BROAD CTR. FOR REGEN. MED. & STEM CELL RESEARCH ,2
TOBERMAN ST ,2
DRAMA CENTER ,2
30TH ST &VERMONT AV ,2
25TH ST & MAGNOLIA AV ,2
24TH ST & VERMONT AV ,2
37TH ST & RAYMOND AV ,2
27TH ST & RAYMOND AV ,2
DEDEAUX FIELD ,2
MARGARITA BAR ,2
37TH ST & VERMONT AV ,2
HOWARD JONES FOOTBALL PRACTICE FIELD ,2
ALPHA RHO CHI ,2
SENATOR APARTMENTS ,2
CENTRAL RECEIVING NEW ,2
37TH ST & GRAND AV ,2
HELENA APARTMENTS ,2
ANA BING ARNOLD CHILD CARE CENTER ANNEX ,2
MCCARTHY WY & FIGUEROA ST ,2
VERDUGO HILLS HOSPITAL ,2
28TH ST & VERMONT AV ,2
30TH ST & NORMANDIE AV ,2
MCKIBBEN HALL ,2
AAA ,2
COCKINS HOUSE ,2
EGG COMPANY ,2
BLOOM WK & TROUSDALE PKY ,2
METRO STATION EXPONERMONT ,1
ENTRANCE GATE8 ,1
39TH ST & FIGUEROA ST ,1
CHICK-FIL-A ,1
SOTO ST & MEDFORD ST ,1
EXPOSITION BL &WATTWY ,1
O'NEIL WAREHOUSE ,1
CITY PARK I APTS. ,1
COLLEGE VIEW APTS. ,1
UNION AV ,1
35TH PL & NORMANDIE AV ,1
DOWNEY WY & TROUSDALE PKY ,1
PISA ,1
FORTHMANN HOUSE ,1
BONSALLO AV ,1
SUNSET APARTMENTS ,1
GAYLE & ED ROSKI MASTER OF FINE ARTS GALLERY ,1
SIGMA ALPHA EPSILON ,1
22ND ST ,1
USC BUILDING ONE ,1
23RD ST & TOBERMAN ST ,1
KECK MEDICINE DOWNTOWN ,1
LA BICYCLES ,1
REGENT APARTMENTS ,1
SENATOR APARTMENTS II ,1
USC SCHOOL OF CINEMATIC ARTS STATION ,1
OFF CAMPUS CHECK AREA A ,1
MICHELSON CENTER FOR CONVERGENT BIOSCIENCE ,1
UNION STATION ,1
37TH PL & NORMANDIE AV ,1
JAMES & JILL FERTITTA HALL ,1
EASTLAKE AV ,1
NORWOOD ELEMENTARY SCHOOL ,1
ST. VINCENT DePAUL CHURCH ,1
BEEF BOWL ,1
LAFD STATION ,1
27TH ST & MONMOUTH AV ,1
CORSICA ,1
NORFOLK ST ,1
UNIVERSITY PRESIDENT'S HOME ,1
36TH ST &VERMONT AV ,1
36TH PL & NORMANDIE AV ,1
SOTO ST & MARENGO ST ,1
31ST ST & ORCHARD AV ,1
23RD ST & UNION ST ,1
EARLY CHILDHOOD TRAINING CENTER ,1
SOTO STREET BUILDING ANNEX ,1
ROYAL STREET HOUSE ,1
BIGGY ST & EASTLAKE AV ,1
JEFFERSON BL & MCCLINTOCKAV ,1
VIRGINIA RAMO HALL OF MUSIC ,1
37TH PL & RAYMOND AV ,1
GOODWILL ,1
31ST ST & GRAND ST ,1
CAMPUS DEVELOPMENT& FACILITIES BUILDING ,1
CHILDS WY & FIGUEROA ST ,1
LAPD SOUTHWEST STATION ,1
JEFFERSON BL& UNIVERSITY AV ,1
GOOD SAMARITAN HOSPITAL ,1
KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH ,1
27TH ST & ADAMS GARDEN ST ,1
CHATEAU ROWAPTS. ,1
UNIVERSITY VILLAGE ,1
HSC PUBLIC SAFETY OFFICE ,1
ALTAMED HEALTH CENTER ,1
SHRINEAUDITORIUM ,1
37TH PL & FLOWER ST ,1
SOTO ST & LANCASTER AV ,1
Pl KAPPA PHI ,1
SOTO ST & CHARLOTTE ST ,1
35TH ST & VERMONT AV ,1
UNION ST ,1
TROY VIEW APTS ,1
CAL MART BEER & WINE FOOD STORE ,1
THE BUNGALOWS ,1
SENATOR APARTMENTS I ,1
36TH PL &VERMONT AV ,1
Pl KAPPA ALPHA ,1
UNIVERSITY VILLAGE NINE ,1
38TH ST & FLOWER ST ,1
EC2 BUILDING ,1
27TH ST & FLOWER ST ,1
CURRIE HALL ,1
ENTRANCE GATE5 ,1
CHANO'S ,1
TECHNICAL THEATRE LABORATORY ,1
CLINICAL SCIENCES ANNEX ,1
MISSION RD & GRIFFITH AV ,1
BLK St ,1
FLOWER DR ,1
30TH PL & VERMONT AV ,1
DOCKWEILER POST OFFICE ,1
FAIRMONT APARTMENTS ALLEY ,1
23RD ST & BONSALLO AV ,1
30THST ,1
CHARLOTTE ST & CORNWELL ST ,1
METRO STATION EXPO PARK ,1
SHRINE PLACE APARTMENTS ,1
30TH PL &VERMONT AV ,1
ALICE AND ELEONORE SCHOENFELD SYMPHONIC HALL ,1
MUSEUM- NATURAL HISTORY ,1
HEALTH SCIENCE CAMPUS CHILD CARE CENTER ,1
DOROTHY & HUGH EDMONDSON RESEARCH BUILDING ,1
KERCKHOFF HALL ,1
32ND ST & ROYAL ST ,1
24TH ST & HOOVER ST ,1
HEALTH SCIENCE ALHAMBRA BUILDING ,1
KAPPA ALPHA ,1
313T ST & VERMONT AV ,1
CONSOLIDATED PARKING LOT ,1
VERMONT AVENUE ELEMENTARY SCHOOL ,1
NORFOLK ST & PLAYGROUND ST ,1
37TH PL &VERMONT AV ,1
MCCULLOCKTOWNHOMES ,1
3012VERMONT AV ,1
24TH ST & MAGNOLIA AV ,1
MANAS ,1
SECOND CHAPEL OF CHRIST ,1
CITY PARKII APTS. ,1
MARTI GRAS APTS. ,1
UNIVERSITY VILLAGE EIGHT ,1
STATE ST & ZONAL AV ,1
EXPOSITION BL & PARDEE WY ,1
BELAIRE APARTMENTS ALLEY ,1
31ST ST & HOPE ST ,1
WASH & DRY LAVANDERIA ,1
THRIFTY JR. ,1
MCDONALDS OLYMPIC SWIM STADIUM ,1
30TH ST & GRAND AV ,1
BIGGY LOT ,1
CHARLOTTE ST ,1
HEALTH RESEARCH ASSOCIATION ,1
31ST ST & FLOWER ST ,1
CHEVRON ,1
KERCKHOFF CARRIAGE HOUSE ,1
KECK MEDICINE PASADENA ,1
POPEYES ,1
33RD ST & FIGUEROA ST ,1
ALPHA EPSILON Pl ,1
35TH PL & BUDLONG AV ,1
FIGUEROA BUILDING ,1
UNIVERSITY GATEWAYAPARTMENTS ,1
27TH ST & BUDLONG AV ,1
ST ST & FIGUEROA ST ,1
GRADUATE FRAT HOUSE ,1
23RD ST & OAK ST ,1
GRINDER ,1
REGAL RITA ,1
ARCO ,1
LAMBDA CHIALPHA ,1
37TH DR & CATALINA ST ,1
CORONER'S OFFICE ,1
30TH ST & FLOWER ST ,1
EXPOSITION BL & WATT WY ,1
LA84 FOUNDATION/JOHN C. ARGUE SWIM STADIUM ,1
27TH ST & ORCHARD ST ,1
23RD ST & SCARFF ST ,1
PALISADES II ,1
MCCLINTOCK & DOWNEY ,1
HAZEL & STANLEY HALL FINANCIAL SERVICES BUILDING ,1
MANOR APARTMENTS ,1
LDS INSTITUTE OF RELIGION ,1
SOTO ST & VALLEY BL ,1
ROW APTS ,1
33RD ST & FLOWER ST ,1
CHICAGO AV ,1
ST. AGNES CHURCH ,1
33RD ST & GRAND AV ,1
31ST ST & FIGUEROA ST ,1
RAND SCHRADER OUTPATIENT CLINIC ,1
SIGMAALPHA MU ,1
CARDINAL GARDENS ALLEY ,1
REGAL TROJAN ARMS ,1
UNIVERSITY MALLWAY NORTH ,1
GREEK ESCAPE ,1
